"KEY","EN","DE","EL","IT"
"create.an.area.to.connect.work.files.and.progress.pictures","Create an area to connect work, files, and progress pictures.","","",""
"create.at.least.one.service.team.inside.a.project.to.start.p","Create at least one Service Team inside a project to start planning.","","",""
"create.comment","Create comment","","",""
"create.equipment.entries.for.the.team.and.group.them.into.re","Create equipment entries for the team and group them into reusable categories.","","",""
"create.members","Create members","","",""
"create.new.project","Create new project","","",""
"create.or.select.a.user.to.inspect.access","Create or select a user to inspect access.","","",""
"create.projects","Create projects","","",""
"create.task","Create Task","","",""
"create.tasks.with.what.team.area.and.due.date","Create tasks with what, team, area, and due date.","","",""
"create.your.first.project","Create your first project","","",""
"creating","Creating","","",""
"current.access","Current access","","",""
"date","Date","","",""
"day","Day","","",""
"deactivate","Deactivate","","",""
"delete","Delete","","",""
"delete.selected","Delete Selected","","",""
"developer","Developer","","",""
"developer.preview","Developer preview","","",""
"developers","Developers","","",""
"done","Done","","",""
"due.date","Due date","","",""
"edit","Edit","","",""
"email","Email","","",""
"end","End","","",""
"end.date","End date","","",""
"end.time.must.be.later.than.start.time","End time must be later than start time.","","",""
"eq.024","EQ-024","","",""
"equipment","Equipment","","",""
"equipment.details","Equipment Details","","",""
"equipment.icon.gallery","Equipment icon gallery","","",""
"equipment.list","Equipment List","","",""
"expand","Expand","","",""
"expand.archived.projects","Expand archived projects","","",""
"expand.completed.projects","Expand completed projects","","",""
"experience","Experience","","",""
"experience.filter","Experience filter","","",""
"failed","Failed","","",""
"file","File","","",""
"files","Files","","",""
"filter.by.team","Filter by team","","",""
"filter.by.type","Filter by type","","",""
"font","Font","","",""
"font.family","Font family","","",""
"font.size","Font size","","",""
"give.a.name.or.associate.in.an.area.before.selecting.photos","Give a name or associate in an area before selecting photos.","","",""
"go.back","Go back","","",""
"greek.speech.assist","Greek speech assist","","",""
"greek.transcript.appears.here","Greek transcript appears here","","",""
"grid.view","Grid view","","",""
"hide.archived","Hide Archived","","",""
"hide.archived.elements","Hide archived elements","","",""
"hide.original.file.name","Hide original file name","","",""
"hourly","Hourly","","",""
"icon","Icon","","",""
"image.preview","Image preview","","",""
"info","Info","","",""
"info.cannot.be.archived.only.an.admin.can.delete.the.full.pr","Info cannot be archived. Only an admin can delete the full project.","","",""
"info.cannot.be.deleted.as.an.area.only.an.admin.can.delete.t","Info cannot be deleted as an area. Only an admin can delete the full project.","","",""
"info.cannot.be.edited.as.an.area.it.belongs.to.the.project","Info cannot be edited as an area. It belongs to the project.","","",""
"info.cannot.be.permanently.deleted.as.an.area.only.full.proj","Info cannot be permanently deleted as an area. Only full project deletion removes it.","","",""
"information","Information","","",""
"inspection","Inspection","","",""
"julia","Julia","","",""
"kacheln","Kacheln","","",""
"keep.the.team.record.together.without.leaving.this.popup","Keep the team record together without leaving this popup.","","",""
"leave.empty.for.default.name","Leave empty for default name","","",""
"linked.pictures","Linked pictures","","",""
"linked.service.team","Linked Service Team","","",""
"list.view","List view","","",""
"liste","Liste","","",""
"loading.planner.data","Loading planner data...","","",""
"magic.word.ready.over.say.it.when.your.speech.is.ready","Magic word: ""Ready over"". Say it when your speech is ready.","","",""
"main.sections","Main sections","","",""
"make.this.comment.visible.on.the.master.plan","Make this comment visible on the master plan","","",""
"manage.system.users.and.project.assignments.for.the.currentl","Manage system users and project assignments for the currently selected project.","","",""
"manager","Manager","","",""
"managers","Managers","","",""
"mayer","Mayer","","",""
"mayer.bau.gmbh","Mayer Bau GmbH","","",""
"member","Member","","",""
"member.details","Member Details","","",""
"member.permission.matrix","Member Permission Matrix","","",""
"member.phone.check","Member Phone Check","","",""
"members","Members","","",""
"message","Message","","",""
"more.colors","More colors","","",""
"my.projects","My Projects","","",""
"my.team","My team","","",""
"name","Name","","",""
"new","New","","",""
"new.category","New Category","","",""
"new.client","New Client","","",""
"new.construction.site","New construction site","","",""
"new.equipment","New Equipment","","",""
"new.member","New Member","","",""
"new.task.is.created","New task is created.","","",""
"new.team","New team","","",""
"next.image","Next image","","",""
"next.period","Next period","","",""
"no","No","","",""
"no.active.projects.yet","No active projects yet.","","",""
"no.active.user","No active user","","",""
"no.active.user.selected","No active user selected","","",""
"no.address.added","No address added","","",""
"no.address.yet","No address yet.","","",""
"no.archived.projects.yet","No archived projects yet.","","",""
"no.area.selected","No area selected","","",""
"no.areas.yet","No areas yet","","",""
"no.category","No category","","",""
"no.client.assigned","No client assigned","","",""
"no.clients.yet.add.the.first.client.on.the.left","No clients yet. Add the first client on the left.","","",""
"no.collected.comments.yet","No collected comments yet","","",""
"no.company","No company","","",""
"no.company.or.address","No company or address","","",""
"no.company.or.address.yet","No company or address yet.","","",""
"no.completed.projects.yet","No completed projects yet.","","",""
"no.contact.details","No contact details","","",""
"no.date","No date","","",""
"no.email","No email","","",""
"no.equipment.categories.yet","No equipment categories yet.","","",""
"no.equipment.is.available.for.the.selected.category","No equipment is available for the selected category.","","",""
"no.equipment.yet.add.the.first.item.on.the.left","No equipment yet. Add the first item on the left.","","",""
"no.experience","No experience","","",""
"no.extra.notes","No extra notes.","","",""
"no.files.from.teams.or.areas.yet","No files from teams or areas yet.","","",""
"no.files.yet","No files yet.","","",""
"no.free.teams","No free teams","","",""
"no.general.files.yet","No general files yet","","",""
"no.general.information.yet","No general information yet","","",""
"no.general.photos.yet","No general photos yet","","",""
"no.icon","No icon","","",""
"no.image.files.were.found.in.the.selected.location","No image files were found in the selected location.","","",""
"no.linked.team","No linked team","","",""
"no.linked.team.yet","No linked team yet.","","",""
"no.member.matches.the.current.filters","No member matches the current filters.","","",""
"no.members.available","No members available.","","",""
"no.members.match.the.current.filters","No members match the current filters.","","",""
"no.members.yet","No members yet.","","",""
"no.notes.from.teams.or.areas.yet","No notes from teams or areas yet.","","",""
"no.notes.yet","No notes yet.","","",""
"no.open.projects","No open projects","","",""
"no.photos.from.teams.or.areas.yet","No photos from teams or areas yet.","","",""
"no.photos.yet","No photos yet.","","",""
"no.planner.access.for.this.project","No planner access for this project","","",""
"no.plans.yet","No plans yet","","",""
"no.position","No position","","",""
"no.project.manager","No project manager","","",""
"no.reference","No reference","","",""
"no.selected.members.in.the.permission.matrix","No selected members in the permission matrix.","","",""
"no.service.team.selected","No Service Team selected","","",""
"no.tasks.yet","No tasks yet","","",""
"no.team.linked.yet","No team linked yet","","",""
"no.teams.available","No teams available","","",""
"no.teams.planned","No teams planned","","",""
"no.teams.yet","No teams yet","","",""
"no.teams.yet.2","No teams yet.","","",""
"no.telephone","No telephone","","",""
"no.telephone.added","No telephone added","","",""
"no.text.yet","No text yet.","","",""
"no.users.yet.create.the.first.admin.or.manager.here","No users yet. Create the first admin or manager here.","","",""
"no.users.yet.create.the.first.admin.or.manager.on.the.left","No users yet. Create the first admin or manager on the left.","","",""
"no.viber.room.link.saved.yet","No Viber room link saved yet.","","",""
"not.created","Not created","","",""
"note","Note","","",""
"note.title","Note title","","",""
"notes","Notes","","",""
"notice","Notice","","",""
"notifications","Notifications","","",""
"office.example.com","office@example.com","","",""
"ok","OK","","",""
"only.admins.can.archive.clients","Only admins can archive clients.","","",""
"only.admins.can.create.or.edit.equipment.categories","Only admins can create or edit equipment categories.","","",""
"only.admins.can.edit.equipment.categories","Only admins can edit equipment categories.","","",""
"only.admins.can.edit.the.default.permissions.for.each.role","Only admins can edit the default permissions for each role.","","",""
"only.admins.can.permanently.delete.archived.projects","Only admins can permanently delete archived projects.","","",""
"only.admins.can.permanently.delete.areas","Only admins can permanently delete Areas.","","",""
"only.admins.can.permanently.delete.clients","Only admins can permanently delete clients.","","",""
"only.admins.can.permanently.delete.equipment","Only admins can permanently delete equipment.","","",""
"only.admins.can.permanently.delete.projects","Only admins can permanently delete projects.","","",""
"only.admins.can.permanently.delete.service.teams","Only admins can permanently delete Service Teams.","","",""
"only.admins.can.restore.archived.items","Only admins can restore archived items.","","",""
"only.admins.can.restore.archived.projects","Only admins can restore archived projects.","","",""
"only.admins.can.restore.archived.service.teams","Only admins can restore archived Service Teams.","","",""
"only.admins.can.view.the.full.audit.log","Only admins can view the full audit log.","","",""
"only.admins.or.assigned.managers.can.archive.areas","Only admins or assigned managers can archive Areas.","","",""
"only.admins.or.assigned.managers.can.archive.projects","Only admins or assigned managers can archive projects.","","",""
"only.admins.or.assigned.managers.can.archive.service.teams","Only admins or assigned managers can archive Service Teams.","","",""
"only.admins.or.assigned.managers.can.change.the.project.clie","Only admins or assigned managers can change the project client.","","",""
"only.admins.or.assigned.managers.can.configure.project.viber","Only admins or assigned managers can configure project Viber room.","","",""
"only.admins.or.assigned.managers.can.connect.service.teams.t","Only admins or assigned managers can connect Service Teams to Areas.","","",""
"only.admins.or.assigned.managers.can.connect.service.teams.t.2","Only admins or assigned managers can connect Service Teams to items.","","",""
"only.admins.or.assigned.managers.can.create.areas","Only admins or assigned managers can create Areas.","","",""
"only.admins.or.assigned.managers.can.create.service.teams","Only admins or assigned managers can create Service Teams.","","",""
"only.admins.or.assigned.managers.can.create.tasks.for.areas","Only admins or assigned managers can create tasks for areas.","","",""
"only.admins.or.assigned.managers.can.create.tasks","Only admins or assigned managers can create tasks.","","",""
"only.admins.or.assigned.managers.can.disconnect.pictures.fro","Only admins or assigned managers can disconnect pictures from items.","","",""
"only.admins.or.assigned.managers.can.disconnect.service.team","Only admins or assigned managers can disconnect Service Teams from Areas.","","",""
"only.admins.or.assigned.managers.can.disconnect.service.team.2","Only admins or assigned managers can disconnect Service Teams from items.","","",""
"only.admins.or.assigned.managers.can.edit.areas","Only admins or assigned managers can edit Areas.","","",""
"only.admins.or.assigned.managers.can.edit.project.setup","Only admins or assigned managers can edit project setup.","","",""
"only.admins.or.assigned.managers.can.edit.service.teams","Only admins or assigned managers can edit Service Teams.","","",""
"only.admins.or.assigned.managers.can.mark.chat.messages.as.i","Only admins or assigned managers can mark chat messages as important.","","",""
"only.admins.or.assigned.managers.can.restore.archived.areas","Only admins or assigned managers can restore archived Areas.","","",""
"only.admins.or.assigned.managers.can.restore.archived.plan.i","Only admins or assigned managers can restore archived plan items.","","",""
"only.admins.or.assigned.managers.can.save.areas","Only admins or assigned managers can save Areas.","","",""
"only.admins.or.assigned.managers.can.save.service.teams","Only admins or assigned managers can save Service Teams.","","",""
"only.admins.or.assigned.project.managers.can.edit.plans","Only admins or assigned project managers can edit Plans.","","",""
"only.admins.or.managers.can.create.or.edit.clients","Only admins or managers can create or edit clients.","","",""
"only.admins.or.managers.can.edit.clients","Only admins or managers can edit clients.","","",""
"only.admins.developers.or.assigned.managers.can.change.this","Only admins, developers, or assigned managers can change this planner entry.","","",""
"only.admins.developers.or.assigned.managers.can.delete.this","Only admins, developers, or assigned managers can delete this planner entry.","","",""
"only.admins.developers.or.assigned.managers.can.edit.this.pl","Only admins, developers, or assigned managers can edit this planner entry.","","",""
"only.admins.managers.or.developers.can.archive.equipment","Only admins, managers, or developers can archive equipment.","","",""
"only.admins.managers.or.developers.can.edit.equipment","Only admins, managers, or developers can edit equipment.","","",""
"only.admins.managers.or.developers.can.restore.equipment","Only admins, managers, or developers can restore equipment.","","",""
"only.admins.managers.or.developers.can.save.equipment","Only admins, managers, or developers can save equipment.","","",""
"open","Open","","",""
"open.a.project.room.team.room.or.direct.member.chat.attach.p","Open a project room, team room, or direct member chat. Attach pictures or files directly in the conversation.","","",""
"open.files.and.pictures.from.this.area.in.one.place","Open files and pictures from this area in one place.","","",""
"open.quick.actions","Open quick actions","","",""
"open.room","Open Room","","",""
"open.user.menu","Open user menu","","",""
"optional.notes.condition.or.usage.details","Optional notes, condition, or usage details","","",""
"optional.planning.note","Optional planning note","","",""
"optional.task.details","Optional task details","","",""
"palette","Palette","","",""
"paused","Paused","","",""
"permission","Permission","","",""
"permission.matrix","Permission Matrix","","",""
"permissions","Permissions","","",""
"person.example.com","person@example.com","","",""
"photo.name","Photo name","","",""
"photo.upload","Photo Upload","","",""
"photos","Photos","","",""
"photos.files.notes","Photos, Files, Notes","","",""
"pick.one.of.20.ready.made.combinations","Pick one of 20 ready-made combinations.","","",""
"pics","Pics","","",""
"picture","Picture","","",""
"picture.group.name.optional","Picture group name (optional)","","",""
"pipe.cutter","Pipe cutter","","",""
"planner","Planner","","",""
"planner.slot.size","Planner slot size","","",""
"planner.view.mode","Planner view mode","","",""
"please.add.an.area.name","Please add an Area name.","","",""
"please.add.an.equipment.name.and.choose.a.category","Please add an equipment name and choose a category.","","",""
"please.choose.a.member.and.a.due.date.for.the.task","Please choose a member and a due date for the task.","","",""
"please.choose.a.service.team.and.a.due.date.for.the.task","Please choose a Service Team and a due date for the task.","","",""
"please.choose.a.service.team.name.and.at.least.one.team.memb","Please choose a Service Team name and at least one team member.","","",""
"please.choose.a.team.a.project.and.a.date","Please choose a team, a project, and a date.","","",""
"please.enter.a.category.name","Please enter a category name.","","",""
"please.fill.in.name.surname.telephone.number.and.email.befor","Please fill in name, surname, telephone number, and email before adding the member.","","",""
"please.give.a.name.or.select.one.area.before.continuing","Please give a name or select one area before continuing.","","",""
"please.name.the.picture.before.taking.it","Please name the picture before taking it.","","",""
"plumbing.tools","Plumbing tools","","",""
"position","Position","","",""
"position.filter","Position filter","","",""
"preview","Preview","","",""
"previous.image","Previous image","","",""
"previous.period","Previous period","","",""
"project","Project","","",""
"project.and.client.details.will.appear.here","Project and client details will appear here.","","",""
"project.archived","Project Archived","","",""
"project.call","Project Call","","",""
"project.chat","Project chat","","",""
"project.client.updated","Project Client Updated","","",""
"project.communication","Project Communication","","",""
"project.context","Project context","","",""
"project.controls","Project controls","","",""
"project.details","Project Details","","",""
"project.manager","Project manager","","",""
"project.manager.workspace","Project Manager Workspace","","",""
"project.name","Project name","","",""
"project.name.project.manager.and.client.are.required","Project name, project manager, and client are required.","","",""
"project.permanently.deleted","Project Permanently Deleted","","",""
"project.restored","Project Restored","","",""
"project.room","Project Room","","",""
"project.room.chat","Project Room Chat","","",""
"project.saved","Project Saved","","",""
"project.setup","Project Setup","","",""
"project.status","Project status","","",""
"project.tasks","Project Tasks","","",""
"project.updated","Project Updated","","",""
"project.viber.room","Project Viber Room","","",""
"project.viber.room.updated","Project Viber Room Updated","","",""
"project.workspace.style","Project workspace style","","",""
"projects","Projects","","",""
"quick.add","Quick Add","","",""
"quick.comments.tied.to.this.service.team","Quick comments tied to this Service Team.","","",""
"quick.task.overview.for.the.current.project","Quick task overview for the current project.","","",""
"reduce.project.panels","Reduce project panels","","",""
"reference.id","Reference / ID","","",""
"remove","Remove","","",""
"responsible","Responsible","","",""
"responsible.persons","Responsible Persons","","",""
"restore","Restore","","",""
"role.permission.templates","Role Permission Templates","","",""
"room.id","Room id","","",""
"room.link","Room link","","",""
"room.status","Room status","","",""
"save","Save","","",""
"save.assignment","Save assignment","","",""
"save.category","Save category","","",""
"save.client","Save client","","",""
"save.comment","Save comment","","",""
"save.equipment","Save equipment","","",""
"save.project","Save project","","",""
"save.task","Save task","","",""
"save.the.service.team.first.to.add.notes.files.or.photos","Save the Service Team first to add notes, files, or photos.","","",""
"schedule.team","Schedule Team","","",""
"search","Search","","",""
"search.audit.log","Search audit log","","",""
"search.clients.from.the.first.letter","Search clients from the first letter","","",""
"search.equipment","Search equipment","","",""
"search.members","Search members","","",""
"search.project","Search project","","",""
"section.view","Section view","","",""
"select.a.category.to.filter.the.list.admin.can.create.or.edi","Select a category to filter the list. Admin can create or edit categories here.","","",""
"select.a.client.on.the.left.to.open.the.details","Select a client on the left to open the details.","","",""
"select.a.member.on.the.left.to.open.the.details","Select a member on the left to open the details.","","",""
"select.an.area.tab.to.open.notes.files.and.photos","Select an area tab to open Notes, Files, and Photos.","","",""
"select.equipment.on.the.left.to.open.the.details","Select equipment on the left to open the details.","","",""
"select.one.or.more.members.use.position.and.experience.to.fi","Select one or more members. Use Position and Experience to filter the list.","","",""
"select.photos","Select photos","","",""
"select.pic","Select pic","","",""
"select.picture","Select picture","","",""
"service.team","Service Team","","",""
"service.team.name","Service Team name","","",""
"show.archived","Show Archived","","",""
"show.archived.elements","Show archived elements","","",""
"show.original.file.name","Show original file name","","",""
"show.users.in.matrix","Show users in matrix","","",""
"site.snapshots.and.proof.photos","Site snapshots and proof photos.","","",""
"size","Size","","",""
"sort.area.uploads","Sort area uploads","","",""
"sort.team","Sort: Team","","",""
"sort.upload.time","Sort: Upload time","","",""
"speak.in.greek.finish.with.the.magic.words.ready.over.so.i.k","Speak in Greek. Finish with the magic words ""Ready over"" so I know your speech is ready.","","",""
"speech.recognition.is.not.supported.in.this.browser","Speech recognition is not supported in this browser.","","",""
"start","Start","","",""
"start.date","Start date","","",""
"start.listening","Start listening","","",""
"start.with.team.members.create.the.first.admin.or.manager.th","Start with Team Members, create the first admin or manager, then add the first project.","","",""
"started","Started","","",""
"status","Status","","",""
"street.zip.city","Street, ZIP, City","","",""
"surname","Surname","","",""
"take.photo","Take Photo","","",""
"take.pic","Take pic","","",""
"take.picture","Take picture","","",""
"task.title","Task title","","",""
"tasks","Tasks","","",""
"tasks.for.the.currently.selected.project","Tasks for the currently selected project","","",""
"team","Team","","",""
"team.color","Team Color","","",""
"team.members","Team Members","","",""
"team.members.sections","Team members sections","","",""
"team.scheduling","Team Scheduling","","",""
"tel","Tel","","",""
"telephone","Telephone","","",""
"telephone.number","Telephone number","","",""
"the.quick.brown.fox.jumps.over.the.lazy.dog.1234567890","The quick brown fox jumps over the lazy dog. 1234567890","","",""
"the.selected.project.is.not.open.on.this.date","The selected project is not open on this date.","","",""
"theme","Theme","","",""
"theme.studio","Theme Studio","","",""
"this.equipment.category.already.exists","This equipment category already exists.","","",""
"this.message.is.already.copied.into.notes","This message is already copied into Notes.","","",""
"this.team.already.has.saved.content.you.cannot.delete.it.per","This team already has saved content. You cannot delete it permanently, but you can make it inactive.","","",""
"this.team.is.already.planned.in.another.project.during.that","This team is already planned in another project during that time.","","",""
"this.week","This Week","","",""
"tick.one.or.more.areas.to.connect.uploaded.photos.with.parts","Tick one or more areas to connect uploaded photos with parts of the project.","","",""
"today","Today","","",""
"track.who.changed.what.when.they.did.it.and.whether.it.was.a","Track who changed what, when they did it, and whether it was archived, restored, or permanently deleted.","","",""
"typography","Typography","","",""
"uid","UID","","",""
"uid.number","UID Number","","",""
"upload.pdfs.docs.and.reference.images","Upload PDFs, docs, and reference images.","","",""
"upload.photos","Upload Photos","","",""
"use.real.dates.to.keep.free.teams.at.the.top.and.assign.them","Use real dates to keep free teams at the top and assign them into open projects below.","","",""
"use.transcript.and.summary","Use transcript and summary","","",""
"user","User","","",""
"user.login","User login","","",""
"user.navigation","User navigation","","",""
"user.type","User type","","",""
"users","Users","","",""
"viber.room","Viber Room","","",""
"viber.room.settings.saved.for.this.project","Viber room settings saved for this project.","","",""
"viber.room.2","VIBER-ROOM-...","","",""
"video","Video","","",""
"week","Week","","",""
"what.do.you.want.to.add","What do you want to add?","","",""
"where.area","Where (Area)","","",""
"work.with.clients.in.one.combined.workspace.the.selected.cli","Work with clients in one combined workspace. The selected client opens directly inside the same flow.","","",""
"workspace.color","Workspace color","","",""
"workspace.preview","Workspace preview","","",""
"write.a.message.or.attach.at.least.one.file","Write a message or attach at least one file.","","",""
"write.like.onenote","Write like OneNote...","","",""
"yes","Yes","","",""
"you.cannot.change.the.permissions.for.your.current.role","You cannot change the permissions for your current role.","","",""
"you.cannot.change.your.own.permissions","You cannot change your own permissions.","","",""
"you.cannot.change.your.own.role","You cannot change your own role.","","",""
"you.cannot.change.your.own.user.type","You cannot change your own user type.","","",""
"you.cannot.deactivate.your.own.account","You cannot deactivate your own account.","","",""
"you.cannot.permanently.delete.your.own.account","You cannot permanently delete your own account.","","",""
"you.have.to.add.name.project.manager.and.client.first.before","You have to add name, project manager, and client first before editing.","","",""
