"ID","Section","Key","English","Greek proposal","Your correction","Status","Notes"
"64","Team Members","","admin@local.app","","","Needs Greek","Please add/check Greek wording"
"65","Team Members","","Admins","","","Needs Greek","Please add/check Greek wording"
"66","Team Members","","Admins can choose a user type first and then define the permissions below.","","","Needs Greek","Please add/check Greek wording"
"67","AI Assistant","","All details","","","Needs Greek","Please add/check Greek wording"
"68","General","","All experience","","","Needs Greek","Please add/check Greek wording"
"69","General","","All positions","","","Needs Greek","Please add/check Greek wording"
"70","General","","all required fields","","","Needs Greek","Please add/check Greek wording"
"71","Team Members","","All roles","","","Needs Greek","Please add/check Greek wording"
"72","General","","all teams","","","Needs Greek","Please add/check Greek wording"
"73","Projects","","All teams are already planned on this date.","","","Needs Greek","Please add/check Greek wording"
"74","General","","All types","","","Needs Greek","Please add/check Greek wording"
"75","AI Assistant","","Amber Draft","","","Needs Greek","Please add/check Greek wording"
"76","AI Assistant","","Another member already uses this email address.","","","Needs Greek","Please add/check Greek wording"
"77","General","","application/octet-stream","","","Needs Greek","Please add/check Greek wording"
"78","Projects","","Archive projects","","","Needs Greek","Please add/check Greek wording"
"79","Projects","","Archive this Area?","","","Needs Greek","Please add/check Greek wording"
"80","Clients","","Archive this client?","","","Needs Greek","Please add/check Greek wording"
"81","Equipment","","Archive this equipment?","","","Needs Greek","Please add/check Greek wording"
"82","General","","Archive this item?","","","Needs Greek","Please add/check Greek wording"
"83","Projects","","Archive this project?","","","Needs Greek","Please add/check Greek wording"
"84","General","","Archive this Service Team?","","","Needs Greek","Please add/check Greek wording"
"85","Audit Log","","Archived Areas","","","Needs Greek","Please add/check Greek wording"
"86","Clients","","Archived Clients","","","Needs Greek","Please add/check Greek wording"
"87","Equipment","","Archived Equipment","","","Needs Greek","Please add/check Greek wording"
"88","Team Members","","Archived Members","","","Needs Greek","Please add/check Greek wording"
"89","Audit Log","","archived projects","","","Needs Greek","Please add/check Greek wording"
"90","Audit Log","","Archived Teams","","","Needs Greek","Please add/check Greek wording"
"91","General","","Are you happy with the picture? Save Y/N?","","","Needs Greek","Please add/check Greek wording"
"92","General","","Are you sure?","","","Needs Greek","Please add/check Greek wording"
"93","Projects","","Area","Περιοχή","","Proposal",""
"94","Audit Log","","Area Archived","","","Needs Greek","Please add/check Greek wording"
"95","Projects","","Area Completed","","","Needs Greek","Please add/check Greek wording"
"96","Audit Log","","Area Created","","","Needs Greek","Please add/check Greek wording"
"97","Projects","","Area Explorer","","","Needs Greek","Please add/check Greek wording"
"98","Projects","","Area Icon","","","Needs Greek","Please add/check Greek wording"
"99","Projects","","Area name","","","Needs Greek","Please add/check Greek wording"
"100","Audit Log","","Area Permanently Deleted","","","Needs Greek","Please add/check Greek wording"
"101","Projects","","Area Reopened","","","Needs Greek","Please add/check Greek wording"
"102","Audit Log","","Area Restored","","","Needs Greek","Please add/check Greek wording"
"103","Projects","","Area team filter","","","Needs Greek","Please add/check Greek wording"
"104","Audit Log","","Area Updated","","","Needs Greek","Please add/check Greek wording"
"105","Projects","","Area Uploads","","","Needs Greek","Please add/check Greek wording"
"106","Projects","","area-comment-preview-thumb image-open-trigger","","","Needs Greek","Please add/check Greek wording"
"107","General","","Arial, sans-serif","","","Needs Greek","Please add/check Greek wording"
"108","Team Members","","Assign project manager","","","Needs Greek","Please add/check Greek wording"
"109","General","","Assign selected team","","","Needs Greek","Please add/check Greek wording"
"110","Projects","","Assign to current project","","","Needs Greek","Please add/check Greek wording"
"111","Projects","","Assign to Project","","","Needs Greek","Please add/check Greek wording"
"112","Team Members","","Assigned member","","","Needs Greek","Please add/check Greek wording"
"113","General","","Assigned Service Team","","","Needs Greek","Please add/check Greek wording"
"114","Projects","","Assigned to project","","","Needs Greek","Please add/check Greek wording"
"115","Projects","","Associate With Area","","","Needs Greek","Please add/check Greek wording"
"116","Audit Log","","Audit Log","Ιστορικό ελέγχου","","Proposal",""
"117","AI Assistant","","Available Teams","","","Needs Greek","Please add/check Greek wording"
"118","General","","Back to Developer","","","Needs Greek","Please add/check Greek wording"
"119","General","","Berry Ledger","","","Needs Greek","Please add/check Greek wording"
"120","General","","Box view","","","Needs Greek","Please add/check Greek wording"
"121","General","","Bullet summary","","","Needs Greek","Please add/check Greek wording"
"122","AI Assistant","","button, input, label, details, summary","","","Needs Greek","Please add/check Greek wording"
"123","AI Assistant","","Camera access was not available on this device/browser.","","","Needs Greek","Please add/check Greek wording"
"124","General","","Cancel","Ακύρωση","","Proposal",""
"125","General","","Capture","","","Needs Greek","Please add/check Greek wording"
"126","General","","Categories","","","Needs Greek","Please add/check Greek wording"
"127","Equipment","","Category","","","Needs Greek","Please add/check Greek wording"
"128","Team Members","","Change user roles","","","Needs Greek","Please add/check Greek wording"
"129","General","","Charcoal Ink","","","Needs Greek","Please add/check Greek wording"
"130","General","","Chat","Συνομιλία","","Proposal",""
"131","General","","Chat image","","","Needs Greek","Please add/check Greek wording"
"132","General","","Chat Message Marked Important","","","Needs Greek","Please add/check Greek wording"
"133","General","","Chat Room","","","Needs Greek","Please add/check Greek wording"
"134","Team Members","","Check what the selected role can see and do.","","","Needs Greek","Please add/check Greek wording"
"135","Projects","","Check which teams are linked to each area and follow progress through files and pictures.","","","Needs Greek","Please add/check Greek wording"
"136","Settings","","Choose a color palette, font family, and text size for the whole app.","","","Needs Greek","Please add/check Greek wording"
"137","General","","Choose a strong color for this team.","","","Needs Greek","Please add/check Greek wording"
"138","General","","Choose action.","","","Needs Greek","Please add/check Greek wording"
"139","General","","Choose from popular workspace colors or open more colors.","","","Needs Greek","Please add/check Greek wording"
"140","Team Members","","Choose the user type in the first row, then define the permissions below. Your own column stays locked.","","","Needs Greek","Please add/check Greek wording"
"141","General","","Choose what you want to add.","","","Needs Greek","Please add/check Greek wording"
"142","General","","Clear","Καθαρισμός","","Proposal",""
"143","General","","Click a free team, then click a time slot to place it on the calendar.","","","Needs Greek","Please add/check Greek wording"
"144","Planner","","Click a free team, then use a project card to create an assignment.","","","Needs Greek","Please add/check Greek wording"
"145","Clients","","Client","Πελάτης","","Proposal",""
"146","Clients","","Client and project context","","","Needs Greek","Please add/check Greek wording"
"147","Clients","","Client Archived","","","Needs Greek","Please add/check Greek wording"
"148","Clients","","Client Created","","","Needs Greek","Please add/check Greek wording"
"149","AI Assistant","","Client Details","","","Needs Greek","Please add/check Greek wording"
"150","Clients","","Client Linked To Project","","","Needs Greek","Please add/check Greek wording"
"151","Clients","","Client List","","","Needs Greek","Please add/check Greek wording"
"152","Clients","","Client name or company is required.","","","Needs Greek","Please add/check Greek wording"
"153","Clients","","Client Permanently Deleted","","","Needs Greek","Please add/check Greek wording"
"154","Clients","","Client Updated","","","Needs Greek","Please add/check Greek wording"
"155","Clients","","Clients","Πελάτες","","Proposal",""
"156","General","","Close","Κλείσιμο","","Proposal",""
"157","Equipment","","Close category form","","","Needs Greek","Please add/check Greek wording"
"158","Clients","","Close client popup","","","Needs Greek","Please add/check Greek wording"
"159","Equipment","","Close equipment form","","","Needs Greek","Please add/check Greek wording"
"160","Team Members","","Close member form","","","Needs Greek","Please add/check Greek wording"
"161","Projects","","Close project popup","","","Needs Greek","Please add/check Greek wording"
"162","General","","Cocoa Grid","","","Needs Greek","Please add/check Greek wording"
"163","AI Assistant","","Collapse client details","","","Needs Greek","Please add/check Greek wording"
"164","Clients","","Collapse clients list","","","Needs Greek","Please add/check Greek wording"
"165","AI Assistant","","Collapse equipment details","","","Needs Greek","Please add/check Greek wording"
"166","Equipment","","Collapse equipment list","","","Needs Greek","Please add/check Greek wording"
"167","AI Assistant","","Collapse member details","","","Needs Greek","Please add/check Greek wording"
"168","Team Members","","Collapse members list","","","Needs Greek","Please add/check Greek wording"
"169","Projects","","Collapse project setup","","","Needs Greek","Please add/check Greek wording"
"170","General","","Collapse service team info","","","Needs Greek","Please add/check Greek wording"
"171","General","","Collected Comments","","","Needs Greek","Please add/check Greek wording"
"172","General","","Color Palettes","","","Needs Greek","Please add/check Greek wording"
"173","Audit Log","","Comment Created","","","Needs Greek","Please add/check Greek wording"
"174","General","","Comment image","","","Needs Greek","Please add/check Greek wording"
"175","General","","Comment picture","","","Needs Greek","Please add/check Greek wording"
"176","Audit Log","","Comment Updated","","","Needs Greek","Please add/check Greek wording"
"177","Clients","","Company","","","Needs Greek","Please add/check Greek wording"
"178","General","","Completed","","","Needs Greek","Please add/check Greek wording"
"179","Projects","","completed projects","","","Needs Greek","Please add/check Greek wording"
"180","General","","Confirm","","","Needs Greek","Please add/check Greek wording"
"181","Projects","","Connect this task with one or more Service Team entries.","","","Needs Greek","Please add/check Greek wording"
"182","Projects","","Connect this task with project pictures.","","","Needs Greek","Please add/check Greek wording"
"183","Projects","","Connect uploaded photos with this project area.","","","Needs Greek","Please add/check Greek wording"
"184","General","","Content","","","Needs Greek","Please add/check Greek wording"
"185","General","","Coral Board","","","Needs Greek","Please add/check Greek wording"
"186","General","","Courier New","","","Needs Greek","Please add/check Greek wording"
"187","Projects","","Create a Service Team and open it to begin building the project record.","","","Needs Greek","Please add/check Greek wording"
"188","Team Members","","Create admins","","","Needs Greek","Please add/check Greek wording"
"189","Projects","","Create an area to connect work, files, and progress pictures.","","","Needs Greek","Please add/check Greek wording"
"190","Projects","","Create at least one Service Team inside a project to start planning.","","","Needs Greek","Please add/check Greek wording"
"191","General","","Create comment","","","Needs Greek","Please add/check Greek wording"
"192","Equipment","","Create equipment entries for the team and group them into reusable categories.","","","Needs Greek","Please add/check Greek wording"
"193","Team Members","","Create members","","","Needs Greek","Please add/check Greek wording"
"194","General","","Create or select a user to inspect access.","","","Needs Greek","Please add/check Greek wording"
"195","Projects","","Create projects","","","Needs Greek","Please add/check Greek wording"
"196","Projects","","Create task","","","Needs Greek","Please add/check Greek wording"
"197","Projects","","Create tasks with what, team, area, and due date.","","","Needs Greek","Please add/check Greek wording"
"198","Projects","","Create your first project","Δημιουργία πρώτου έργου","","Proposal",""
"199","General","","Creating","","","Needs Greek","Please add/check Greek wording"
"200","General","","Current access","","","Needs Greek","Please add/check Greek wording"
"201","AI Assistant","","dashboard-section project-details-panel","","","Needs Greek","Please add/check Greek wording"
"202","Audit Log","","dashboard-subheader archived-visible-label","","","Needs Greek","Please add/check Greek wording"
"203","Team Members","","dashboard-subheader archived-visible-label member-archive-divider","","","Needs Greek","Please add/check Greek wording"
"204","General","","Date","Ημερομηνία","","Proposal",""
"205","General","","Day","Ημέρα","","Proposal",""
"206","Team Members","","Deactivate this member?","","","Needs Greek","Please add/check Greek wording"
"207","General","","Delete","Διαγραφή","","Proposal",""
"208","Team Members","","Delete admins","Διαγραφή admins","","Proposal",""
"209","Audit Log","","Delete Archived Projects","Διαγραφή Archived Projects","","Proposal",""
"210","Projects","","Delete Area","Διαγραφή περιοχή","","Proposal",""
"211","Clients","","Delete Client","Διαγραφή πελάτης","","Proposal",""
"212","Equipment","","Delete Equipment","Διαγραφή εξοπλισμός","","Proposal",""
"213","General","","Delete Item","Διαγραφή Item","","Proposal",""
"214","Team Members","","Delete Member","Διαγραφή μέλος","","Proposal",""
"215","Team Members","","Delete members permanently","Διαγραφή members permanently","","Proposal",""
"216","Projects","","Delete Project","Διαγραφή έργο","","Proposal",""
"217","Projects","","Delete projects permanently","Διαγραφή projects permanently","","Proposal",""
"218","General","","Delete Selected","Διαγραφή Selected","","Proposal",""
"219","General","","Delete Service Team","Διαγραφή Service Team","","Proposal",""
"220","Planner","","Delete this planner assignment?","Διαγραφή this planner assignment?","","Proposal",""
"221","Projects","","Denim Notes","","","Needs Greek","Please add/check Greek wording"
"222","General","","Developer","","","Needs Greek","Please add/check Greek wording"
"223","General","","Developer preview","","","Needs Greek","Please add/check Greek wording"
"224","General","","Developer Preview Changed","","","Needs Greek","Please add/check Greek wording"
"225","General","","Developer Preview Reset","","","Needs Greek","Please add/check Greek wording"
"226","General","","Developers","","","Needs Greek","Please add/check Greek wording"
"227","AI Assistant","","directory-detail-meta member-detail-summary","","","Needs Greek","Please add/check Greek wording"
"228","AI Assistant","","directory-detail-section full-width","","","Needs Greek","Please add/check Greek wording"
"229","Equipment","","directory-select-list equipment-select-list","","","Needs Greek","Please add/check Greek wording"
"230","General","","Done","","","Needs Greek","Please add/check Greek wording"
"231","AI Assistant","","Drag a team from the left rail onto an area to connect the work.","","","Needs Greek","Please add/check Greek wording"
"232","General","","Drag a team here","","","Needs Greek","Please add/check Greek wording"
"233","General","","Drop a Service Team here","","","Needs Greek","Please add/check Greek wording"
"234","Projects","","Drop files into area files","","","Needs Greek","Please add/check Greek wording"
"235","Projects","","Drop files or pics here","","","Needs Greek","Please add/check Greek wording"
"236","Projects","","Drop files or pics into area files","","","Needs Greek","Please add/check Greek wording"
"237","Projects","","Drop files or pics into area information","","","Needs Greek","Please add/check Greek wording"
"238","Projects","","Drop files or pics into area notes","","","Needs Greek","Please add/check Greek wording"
"239","Projects","","Drop files or pics into general files","","","Needs Greek","Please add/check Greek wording"
"240","Projects","","Drop files or pics into general information","","","Needs Greek","Please add/check Greek wording"
"241","Projects","","Drop files or pics into plans","","","Needs Greek","Please add/check Greek wording"
"242","Projects","","Drop files or pics into this area","","","Needs Greek","Please add/check Greek wording"
"243","Projects","","Drop files or pics into this team","","","Needs Greek","Please add/check Greek wording"
"244","Projects","","Drop pics into area photos","","","Needs Greek","Please add/check Greek wording"
"245","Projects","","Drop pictures into area photos","","","Needs Greek","Please add/check Greek wording"
"246","Projects","","Drop pictures into general photos","","","Needs Greek","Please add/check Greek wording"
"247","General","","due date","","","Needs Greek","Please add/check Greek wording"
"248","Planner","","Edit Assignment","Επεξεργασία Assignment","","Proposal",""
"249","Equipment","","Edit Category","Επεξεργασία κατηγορία","","Proposal",""
"250","Clients","","Edit Client","Επεξεργασία πελάτης","","Proposal",""
"251","General","","Edit comment","Επεξεργασία comment","","Proposal",""
"252","Equipment","","Edit Equipment","Επεξεργασία εξοπλισμός","","Proposal",""
"253","Team Members","","Edit Member","Επεξεργασία μέλος","","Proposal",""
"254","AI Assistant","","Edit project details, folders, notes, tasks","Επεξεργασία project details, folders, notes, tasks","","Proposal",""
"255","Projects","","Edit task notes","Επεξεργασία task notes","","Proposal",""
"256","General","","Edit title","Επεξεργασία title","","Proposal",""
"257","General","","Electrical tools","","","Needs Greek","Please add/check Greek wording"
"258","AI Assistant","","Email","Email","","Proposal",""
"259","General","","Ember Paper","","","Needs Greek","Please add/check Greek wording"
"260","General","","End","","","Needs Greek","Please add/check Greek wording"
"261","General","","End date","Ημερομηνία λήξης","","Proposal",""
"262","General","","End time must be later than start time.","","","Needs Greek","Please add/check Greek wording"
"263","Equipment","","Equipment","Εξοπλισμός","","Proposal",""
"264","Equipment","","Equipment Archived","","","Needs Greek","Please add/check Greek wording"
"265","Equipment","","Equipment Category","","","Needs Greek","Please add/check Greek wording"
"266","Equipment","","Equipment Category Created","","","Needs Greek","Please add/check Greek wording"
"267","Equipment","","Equipment Category Updated","","","Needs Greek","Please add/check Greek wording"
"268","Equipment","","Equipment Created","","","Needs Greek","Please add/check Greek wording"
"269","AI Assistant","","Equipment Details","","","Needs Greek","Please add/check Greek wording"
"270","Equipment","","Equipment List","","","Needs Greek","Please add/check Greek wording"
"271","Equipment","","Equipment Permanently Deleted","","","Needs Greek","Please add/check Greek wording"
"272","Equipment","","Equipment Restored","","","Needs Greek","Please add/check Greek wording"
"273","Equipment","","Equipment Updated","","","Needs Greek","Please add/check Greek wording"
"274","General","","Expand","Άνοιγμα","","Proposal",""
"275","AI Assistant","","Expand client details","","","Needs Greek","Please add/check Greek wording"
"276","Clients","","Expand clients list","","","Needs Greek","Please add/check Greek wording"
"277","AI Assistant","","Expand equipment details","","","Needs Greek","Please add/check Greek wording"
"278","Equipment","","Expand equipment list","","","Needs Greek","Please add/check Greek wording"
"279","AI Assistant","","Expand member details","","","Needs Greek","Please add/check Greek wording"
"280","Team Members","","Expand members list","","","Needs Greek","Please add/check Greek wording"
"281","Projects","","Expand project panels","","","Needs Greek","Please add/check Greek wording"
"282","Projects","","Expand project setup","","","Needs Greek","Please add/check Greek wording"
"283","General","","Expand service team info","","","Needs Greek","Please add/check Greek wording"
"284","Team Members","","Expand to edit the default permissions for each role. Your current role template stays locked.","","","Needs Greek","Please add/check Greek wording"
"285","AI Assistant","","Failed","","","Needs Greek","Please add/check Greek wording"
"286","Projects","","File","","","Needs Greek","Please add/check Greek wording"
"287","Projects","","File Uploaded","","","Needs Greek","Please add/check Greek wording"
"288","Projects","","file-link file-title-link","","","Needs Greek","Please add/check Greek wording"
"289","Projects","","Files","Αρχεία","","Proposal",""
"290","Projects","","file-thumb-preview image-open-trigger","","","Needs Greek","Please add/check Greek wording"
"291","General","","Filter by this team","","","Needs Greek","Please add/check Greek wording"
"292","General","","Fjord Mist","","","Needs Greek","Please add/check Greek wording"
"293","Settings","","Font","","","Needs Greek","Please add/check Greek wording"
"294","Settings","","Font family","","","Needs Greek","Please add/check Greek wording"
"295","Settings","","Font size","","","Needs Greek","Please add/check Greek wording"
"296","General","","Forest Ledger","","","Needs Greek","Please add/check Greek wording"
"297","Projects","","General Files","","","Needs Greek","Please add/check Greek wording"
"298","General","","General Information","","","Needs Greek","Please add/check Greek wording"
"299","Projects","","General Photos","","","Needs Greek","Please add/check Greek wording"
"300","General","","Georgia, serif","","","Needs Greek","Please add/check Greek wording"
"301","Projects","","ghost-btn area-archive-btn","","","Needs Greek","Please add/check Greek wording"
"302","Projects","","ghost-btn area-comment-btn","","","Needs Greek","Please add/check Greek wording"
"303","Projects","","ghost-btn area-complete-toggle-btn","","","Needs Greek","Please add/check Greek wording"
"304","Projects","","ghost-btn area-delete-btn","","","Needs Greek","Please add/check Greek wording"
"305","Projects","","ghost-btn area-edit-btn","","","Needs Greek","Please add/check Greek wording"
"306","Projects","","ghost-btn area-file-btn","","","Needs Greek","Please add/check Greek wording"
"307","Projects","","ghost-btn area-photo-btn","","","Needs Greek","Please add/check Greek wording"
"308","General","","ghost-btn chat-important-btn","","","Needs Greek","Please add/check Greek wording"
"309","General","","ghost-btn destructive-btn","","","Needs Greek","Please add/check Greek wording"
"310","General","","ghost-btn open-team-btn","","","Needs Greek","Please add/check Greek wording"
"311","Projects","","ghost-btn project-chat-attach-btn","","","Needs Greek","Please add/check Greek wording"
"312","Projects","","ghost-btn team-file-btn","","","Needs Greek","Please add/check Greek wording"
"313","Projects","","ghost-btn team-note-btn","","","Needs Greek","Please add/check Greek wording"
"314","Projects","","ghost-btn team-photo-btn","","","Needs Greek","Please add/check Greek wording"
"315","Projects","","Give a name or associate in an area before selecting photos.","","","Needs Greek","Please add/check Greek wording"
"316","Projects","","Give the file group a name first. Leave empty to use the default name.","","","Needs Greek","Please add/check Greek wording"
"317","General","","Graphite Calm","","","Needs Greek","Please add/check Greek wording"
"318","AI Assistant","","Greek speech assist","","","Needs Greek","Please add/check Greek wording"
"319","Projects","","has no visible project selected","","","Needs Greek","Please add/check Greek wording"
"320","General","","Heating / HVAC","","","Needs Greek","Please add/check Greek wording"
"321","Audit Log","","Hide Archived","","","Needs Greek","Please add/check Greek wording"
"322","Audit Log","","Hide archived elements","","","Needs Greek","Please add/check Greek wording"
"323","Projects","","Hide original file name","","","Needs Greek","Please add/check Greek wording"
"324","General","","Hourly","","","Needs Greek","Please add/check Greek wording"
"325","Projects","","I added a bullet summary to Notes.","","","Needs Greek","Please add/check Greek wording"
"326","General","","Icon","Εικονίδιο","","Proposal",""
"327","Projects","","Image file","","","Needs Greek","Please add/check Greek wording"
"328","General","","Image preview","","","Needs Greek","Please add/check Greek wording"
"329","General","","image/","","","Needs Greek","Please add/check Greek wording"
"330","General","","image/jpeg","","","Needs Greek","Please add/check Greek wording"
"331","General","","Info","","","Needs Greek","Please add/check Greek wording"
"332","Team Members","","Info cannot be archived. Only an admin can delete the full project.","","","Needs Greek","Please add/check Greek wording"
"333","Team Members","","Info cannot be deleted as an area. Only an admin can delete the full project.","","","Needs Greek","Please add/check Greek wording"
"334","Projects","","Info cannot be edited as an area. It belongs to the project.","","","Needs Greek","Please add/check Greek wording"
"335","Audit Log","","Info cannot be permanently deleted as an area. Only full project deletion removes it.","","","Needs Greek","Please add/check Greek wording"
"336","Projects","","input, select, textarea, button","","","Needs Greek","Please add/check Greek wording"
"337","Audit Log","","Item Archived","","","Needs Greek","Please add/check Greek wording"
"338","Audit Log","","Item Permanently Deleted","","","Needs Greek","Please add/check Greek wording"
"339","Audit Log","","Item Restored","","","Needs Greek","Please add/check Greek wording"
"340","Audit Log","","Item Updated","","","Needs Greek","Please add/check Greek wording"
"341","General","","item-card compact-card","","","Needs Greek","Please add/check Greek wording"
"342","Audit Log","","item-card compact-card archived-item-card","","","Needs Greek","Please add/check Greek wording"
"343","General","","item-card compact-card team-overview-card","","","Needs Greek","Please add/check Greek wording"
"344","General","","Keep the team record together without leaving this popup.","","","Needs Greek","Please add/check Greek wording"
"345","General","","Lagoon Work","","","Needs Greek","Please add/check Greek wording"
"346","General","","Linked pictures","","","Needs Greek","Please add/check Greek wording"
"347","General","","Linked Service Team","","","Needs Greek","Please add/check Greek wording"
"348","General","","List view","","","Needs Greek","Please add/check Greek wording"
"349","General","","Listening...","","","Needs Greek","Please add/check Greek wording"
"350","General","","Living Room","","","Needs Greek","Please add/check Greek wording"
"351","Planner","","Loading planner data...","","","Needs Greek","Please add/check Greek wording"
"352","General","","Lucida Sans","","","Needs Greek","Please add/check Greek wording"
"353","General","","M10 15v4","","","Needs Greek","Please add/check Greek wording"
"354","General","","M10 5h4","","","Needs Greek","Please add/check Greek wording"
"355","General","","M10 6v12","","","Needs Greek","Please add/check Greek wording"
"356","General","","M11 10v2","","","Needs Greek","Please add/check Greek wording"
"357","General","","M11 7h.01","","","Needs Greek","Please add/check Greek wording"
"358","General","","M12 12h.01","","","Needs Greek","Please add/check Greek wording"
"359","General","","M12 16v2","","","Needs Greek","Please add/check Greek wording"
"360","General","","M12 4v16","","","Needs Greek","Please add/check Greek wording"
"361","General","","M12 5v12","","","Needs Greek","Please add/check Greek wording"
"362","General","","M12 9v6","","","Needs Greek","Please add/check Greek wording"
"363","General","","M13 12V10h5v2","","","Needs Greek","Please add/check Greek wording"
"364","General","","M13 19h2","","","Needs Greek","Please add/check Greek wording"
"365","General","","M13 2 6 13h5l-1 9 8-12h-5z","","","Needs Greek","Please add/check Greek wording"
"366","General","","M13 8v11","","","Needs Greek","Please add/check Greek wording"
"367","General","","M14 10v4","","","Needs Greek","Please add/check Greek wording"
"368","General","","M14 12V9h3l3 3","","","Needs Greek","Please add/check Greek wording"
"369","General","","M14 14v5","","","Needs Greek","Please add/check Greek wording"
