"key","en","de","el"
"add.new.project","Add new project","",""
"add.note.2","Add Note","",""
"add.picture","Add Picture","",""
"add.project","Add project","",""
"add.project.dates.or.activate.a.project.so.it.appears.in.the","Add project dates or activate a project so it appears in the planner.","",""
"add.project.information.instructions.or.notes.here","Add project information, instructions, or notes here.","",""
"add.to.plans","Add to Plans","",""
"added.to.notes","Added to Notes","",""
"address","Address","",""
"admin","Admin","",""
"admin.can.choose.a.user.type.first.and.then.define.the.permi","Admin can choose a user type first and then define the permissions in the matrix. Edited users are highlighted so extra rights are easy to spot.","",""
"admin.local.app","admin@local.app","",""
"admins","Admins","",""
"admins.can.choose.a.user.type.first.and.then.define.the.perm","Admins can choose a user type first and then define the permissions below.","",""
"all.details","All details","",""
"all.experience","All experience","",""
"all.positions","All positions","",""
"all.required.fields","all required fields","",""
"all.roles","All roles","",""
"all.teams","all teams","",""
"all.teams.are.already.planned.on.this.date","All teams are already planned on this date.","",""
"all.types","All types","",""
"amber.draft","Amber Draft","",""
"another.member.already.uses.this.email.address","Another member already uses this email address.","",""
"application.octet.stream","application/octet-stream","",""
"archive.projects","Archive projects","",""
"archive.this.area","Archive this Area?","",""
"archive.this.client","Archive this client?","",""
"archive.this.equipment","Archive this equipment?","",""
"archive.this.item","Archive this item?","",""
"archive.this.project","Archive this project?","",""
"archive.this.service.team","Archive this Service Team?","",""
"archived.areas","Archived Areas","",""
"archived.clients","Archived Clients","",""
"archived.equipment","Archived Equipment","",""
"archived.members","Archived Members","",""
"archived.projects","archived projects","",""
"archived.teams","Archived Teams","",""
"are.you.happy.with.the.picture.save.y.n","Are you happy with the picture? Save Y/N?","",""
"are.you.sure","Are you sure?","",""
"area","Area","",""
"area.archived","Area Archived","",""
"area.completed","Area Completed","",""
"area.created","Area Created","",""
"area.explorer","Area Explorer","",""
"area.icon","Area Icon","",""
"area.name","Area name","",""
"area.permanently.deleted","Area Permanently Deleted","",""
"area.reopened","Area Reopened","",""
"area.restored","Area Restored","",""
"area.team.filter","Area team filter","",""
"area.updated","Area Updated","",""
"area.uploads","Area Uploads","",""
"area.comment.preview.thumb.image.open.trigger","area-comment-preview-thumb image-open-trigger","",""
"arial.sans.serif","Arial, sans-serif","",""
"assign.project.manager","Assign project manager","",""
"assign.selected.team","Assign selected team","",""
"assign.to.current.project","Assign to current project","",""
"assign.to.project","Assign to Project","",""
"assigned.member","Assigned member","",""
"assigned.service.team","Assigned Service Team","",""
"assigned.to.project","Assigned to project","",""
"associate.with.area","Associate With Area","",""
"audit.log","Audit Log","",""
"available.teams","Available Teams","",""
"back.to.developer","Back to Developer","",""
"berry.ledger","Berry Ledger","",""
"box.view","Box view","",""
"bullet.summary","Bullet summary","",""
"button.input.label.details.summary","button, input, label, details, summary","",""
"camera.access.was.not.available.on.this.device.browser","Camera access was not available on this device/browser.","",""
"cancel","Cancel","",""
"capture","Capture","",""
"categories","Categories","",""
"category","Category","",""
"change.user.roles","Change user roles","",""
"charcoal.ink","Charcoal Ink","",""
"chat","Chat","",""
"chat.image","Chat image","",""
"chat.message.marked.important","Chat Message Marked Important","",""
"chat.room","Chat Room","",""
"check.what.the.selected.role.can.see.and.do","Check what the selected role can see and do.","",""
"check.which.teams.are.linked.to.each.area.and.follow.progres","Check which teams are linked to each area and follow progress through files and pictures.","",""
"choose.a.color.palette.font.family.and.text.size.for.the.who","Choose a color palette, font family, and text size for the whole app.","",""
"choose.a.strong.color.for.this.team","Choose a strong color for this team.","",""
"choose.action","Choose action.","",""
"choose.from.popular.workspace.colors.or.open.more.colors","Choose from popular workspace colors or open more colors.","",""
"choose.the.user.type.in.the.first.row.then.define.the.permis","Choose the user type in the first row, then define the permissions below. Your own column stays locked.","",""
"choose.what.you.want.to.add","Choose what you want to add.","",""
"clear","Clear","",""
"click.a.free.team.then.click.a.time.slot.to.place.it.on.the","Click a free team, then click a time slot to place it on the calendar.","",""
"click.a.free.team.then.use.a.project.card.to.create.an.assig","Click a free team, then use a project card to create an assignment.","",""
"client.2","Client","",""
"client.and.project.context","Client and project context","",""
"client.archived","Client Archived","",""
"client.created","Client Created","",""
"client.details","Client Details","",""
"client.linked.to.project","Client Linked To Project","",""
"client.list","Client List","",""
"client.name.or.company.is.required","Client name or company is required.","",""
"client.permanently.deleted","Client Permanently Deleted","",""
"client.updated","Client Updated","",""
"clients","Clients","",""
"close","Close","",""
"close.category.form","Close category form","",""
"close.client.popup","Close client popup","",""
"close.equipment.form","Close equipment form","",""
"close.member.form","Close member form","",""
"close.project.popup","Close project popup","",""
"cocoa.grid","Cocoa Grid","",""
"collapse.client.details","Collapse client details","",""
"collapse.clients.list","Collapse clients list","",""
"collapse.equipment.details","Collapse equipment details","",""
"collapse.equipment.list","Collapse equipment list","",""
"collapse.member.details","Collapse member details","",""
"collapse.members.list","Collapse members list","",""
"collapse.project.setup","Collapse project setup","",""
"collapse.service.team.info","Collapse service team info","",""
"collected.comments","Collected Comments","",""
"color.palettes","Color Palettes","",""
"comment.created","Comment Created","",""
"comment.image","Comment image","",""
"comment.picture","Comment picture","",""
"comment.updated","Comment Updated","",""
"company","Company","",""
"completed","Completed","",""
"completed.projects","completed projects","",""
"confirm","Confirm","",""
"connect.this.task.with.one.or.more.service.team.entries","Connect this task with one or more Service Team entries.","",""
"connect.this.task.with.project.pictures","Connect this task with project pictures.","",""
"connect.uploaded.photos.with.this.project.area","Connect uploaded photos with this project area.","",""
"content","Content","",""
"coral.board","Coral Board","",""
"courier.new","Courier New","",""
"create.a.service.team.and.open.it.to.begin.building.the.proj","Create a Service Team and open it to begin building the project record.","",""
"create.admins","Create admins","",""
"create.an.area.to.connect.work.files.and.progress.pictures","Create an area to connect work, files, and progress pictures.","",""
"create.at.least.one.service.team.inside.a.project.to.start.p","Create at least one Service Team inside a project to start planning.","",""
"create.comment","Create comment","",""
"create.equipment.entries.for.the.team.and.group.them.into.re","Create equipment entries for the team and group them into reusable categories.","",""
"create.members","Create members","",""
"create.or.select.a.user.to.inspect.access","Create or select a user to inspect access.","",""
"create.projects","Create projects","",""
"create.task","Create task","",""
"create.tasks.with.what.team.area.and.due.date","Create tasks with what, team, area, and due date.","",""
"create.your.first.project","Create your first project","",""
"creating","Creating","",""
"current.access","Current access","",""
"dashboard.section.project.details.panel","dashboard-section project-details-panel","",""
"dashboard.subheader.archived.visible.label","dashboard-subheader archived-visible-label","",""
"dashboard.subheader.archived.visible.label.member.archive.di","dashboard-subheader archived-visible-label member-archive-divider","",""
"date","Date","",""
"day","Day","",""
"deactivate.this.member","Deactivate this member?","",""
"delete","Delete","",""
"delete.admins","Delete admins","",""
"delete.archived.projects","Delete Archived Projects","",""
"delete.area","Delete Area","",""
"delete.client","Delete Client","",""
"delete.equipment","Delete Equipment","",""
"delete.item","Delete Item","",""
"delete.member","Delete Member","",""
"delete.members.permanently","Delete members permanently","",""
"delete.project","Delete Project","",""
"delete.projects.permanently","Delete projects permanently","",""
"delete.selected","Delete Selected","",""
"delete.service.team","Delete Service Team","",""
"delete.this.planner.assignment","Delete this planner assignment?","",""
"denim.notes","Denim Notes","",""
"developer","Developer","",""
"developer.preview","Developer preview","",""
"developer.preview.changed","Developer Preview Changed","",""
"developer.preview.reset","Developer Preview Reset","",""
"developers","Developers","",""
"directory.detail.meta.member.detail.summary","directory-detail-meta member-detail-summary","",""
"directory.detail.section.full.width","directory-detail-section full-width","",""
"directory.select.list.equipment.select.list","directory-select-list equipment-select-list","",""
"done","Done","",""
"drag.a.team.from.the.left.rail.onto.an.area.to.connect.the.w","Drag a team from the left rail onto an area to connect the work.","",""
"drag.a.team.here","Drag a team here","",""
"drop.a.service.team.here","Drop a Service Team here","",""
"drop.files.into.area.files","Drop files into area files","",""
"drop.files.or.pics.here","Drop files or pics here","",""
"drop.files.or.pics.into.area.files","Drop files or pics into area files","",""
"drop.files.or.pics.into.area.information","Drop files or pics into area information","",""
"drop.files.or.pics.into.area.notes","Drop files or pics into area notes","",""
"drop.files.or.pics.into.general.files","Drop files or pics into general files","",""
"drop.files.or.pics.into.general.information","Drop files or pics into general information","",""
"drop.files.or.pics.into.plans","Drop files or pics into plans","",""
"drop.files.or.pics.into.this.area","Drop files or pics into this area","",""
"drop.files.or.pics.into.this.team","Drop files or pics into this team","",""
"drop.pics.into.area.photos","Drop pics into area photos","",""
"drop.pictures.into.area.photos","Drop pictures into area photos","",""
"drop.pictures.into.general.photos","Drop pictures into general photos","",""
"due.date","due date","",""
"edit.assignment","Edit Assignment","",""
"edit.category","Edit Category","",""
"edit.client","Edit Client","",""
"edit.comment","Edit comment","",""
"edit.equipment","Edit Equipment","",""
"edit.member","Edit Member","",""
"edit.project.details.folders.notes.tasks","Edit project details, folders, notes, tasks","",""
"edit.task.notes","Edit task notes","",""
"edit.title","Edit title","",""
"electrical.tools","Electrical tools","",""
"email","Email","",""
"ember.paper","Ember Paper","",""
"end","End","",""
"end.date","End date","",""
"end.time.must.be.later.than.start.time","End time must be later than start time.","",""
"equipment","Equipment","",""
"equipment.archived","Equipment Archived","",""
"equipment.category","Equipment Category","",""
"equipment.category.created","Equipment Category Created","",""
"equipment.category.updated","Equipment Category Updated","",""
"equipment.created","Equipment Created","",""
"equipment.details","Equipment Details","",""
"equipment.list","Equipment List","",""
"equipment.permanently.deleted","Equipment Permanently Deleted","",""
"equipment.restored","Equipment Restored","",""
"equipment.updated","Equipment Updated","",""
"expand","Expand","",""
"expand.client.details","Expand client details","",""
"expand.clients.list","Expand clients list","",""
"expand.equipment.details","Expand equipment details","",""
"expand.equipment.list","Expand equipment list","",""
"expand.member.details","Expand member details","",""
"expand.members.list","Expand members list","",""
"expand.project.panels","Expand project panels","",""
"expand.project.setup","Expand project setup","",""
"expand.service.team.info","Expand service team info","",""
"expand.to.edit.the.default.permissions.for.each.role.your.cu","Expand to edit the default permissions for each role. Your current role template stays locked.","",""
"failed","Failed","",""
"file","File","",""
"file.uploaded","File Uploaded","",""
"file.link.file.title.link","file-link file-title-link","",""
"files","Files","",""
"file.thumb.preview.image.open.trigger","file-thumb-preview image-open-trigger","",""
"filter.by.this.team","Filter by this team","",""
"fjord.mist","Fjord Mist","",""
"font","Font","",""
"font.family","Font family","",""
"font.size","Font size","",""
"forest.ledger","Forest Ledger","",""
"general.files","General Files","",""
"general.information","General Information","",""
"general.photos","General Photos","",""
"georgia.serif","Georgia, serif","",""
"ghost.btn.area.archive.btn","ghost-btn area-archive-btn","",""
"ghost.btn.area.comment.btn","ghost-btn area-comment-btn","",""
"ghost.btn.area.complete.toggle.btn","ghost-btn area-complete-toggle-btn","",""
"ghost.btn.area.delete.btn","ghost-btn area-delete-btn","",""
"ghost.btn.area.edit.btn","ghost-btn area-edit-btn","",""
"ghost.btn.area.file.btn","ghost-btn area-file-btn","",""
"ghost.btn.area.photo.btn","ghost-btn area-photo-btn","",""
"ghost.btn.chat.important.btn","ghost-btn chat-important-btn","",""
"ghost.btn.destructive.btn","ghost-btn destructive-btn","",""
"ghost.btn.open.team.btn","ghost-btn open-team-btn","",""
"ghost.btn.project.chat.attach.btn","ghost-btn project-chat-attach-btn","",""
"ghost.btn.team.file.btn","ghost-btn team-file-btn","",""
"ghost.btn.team.note.btn","ghost-btn team-note-btn","",""
"ghost.btn.team.photo.btn","ghost-btn team-photo-btn","",""
"give.a.name.or.associate.in.an.area.before.selecting.photos","Give a name or associate in an area before selecting photos.","",""
"give.the.file.group.a.name.first.leave.empty.to.use.the.defa","Give the file group a name first. Leave empty to use the default name.","",""
"graphite.calm","Graphite Calm","",""
"greek.speech.assist","Greek speech assist","",""
"has.no.visible.project.selected","has no visible project selected","",""
"heating.hvac","Heating / HVAC","",""
"hide.archived","Hide Archived","",""
"hide.archived.elements","Hide archived elements","",""
"hide.original.file.name","Hide original file name","",""
"hourly","Hourly","",""
"i.added.a.bullet.summary.to.notes","I added a bullet summary to Notes.","",""
"icon","Icon","",""
"image.file","Image file","",""
"image.preview","Image preview","",""
"image","image/","",""
"image.jpeg","image/jpeg","",""
"info","Info","",""
"info.cannot.be.archived.only.an.admin.can.delete.the.full.pr","Info cannot be archived. Only an admin can delete the full project.","",""
"info.cannot.be.deleted.as.an.area.only.an.admin.can.delete.t","Info cannot be deleted as an area. Only an admin can delete the full project.","",""
"info.cannot.be.edited.as.an.area.it.belongs.to.the.project","Info cannot be edited as an area. It belongs to the project.","",""
"info.cannot.be.permanently.deleted.as.an.area.only.full.proj","Info cannot be permanently deleted as an area. Only full project deletion removes it.","",""
"input.select.textarea.button","input, select, textarea, button","",""
"item.archived","Item Archived","",""
"item.permanently.deleted","Item Permanently Deleted","",""
"item.restored","Item Restored","",""
"item.updated","Item Updated","",""
"item.card.compact.card","item-card compact-card","",""
"item.card.compact.card.archived.item.card","item-card compact-card archived-item-card","",""
"item.card.compact.card.team.overview.card","item-card compact-card team-overview-card","",""
"keep.the.team.record.together.without.leaving.this.popup","Keep the team record together without leaving this popup.","",""
"lagoon.work","Lagoon Work","",""
"linked.pictures","Linked pictures","",""
"linked.service.team","Linked Service Team","",""
"list.view","List view","",""
"listening","Listening...","",""
"living.room","Living Room","",""
"loading.planner.data","Loading planner data...","",""
"lucida.sans","Lucida Sans","",""
"m10.15v4","M10 15v4","",""
"m10.5h4","M10 5h4","",""
"m10.6v12","M10 6v12","",""
"m11.10v2","M11 10v2","",""
"m11.7h.01","M11 7h.01","",""
"m12.12h.01","M12 12h.01","",""
"m12.16v2","M12 16v2","",""
"m12.4v16","M12 4v16","",""
"m12.5v12","M12 5v12","",""
"m12.9v6","M12 9v6","",""
"m13.12v10h5v2","M13 12V10h5v2","",""
"m13.19h2","M13 19h2","",""
"m13.2.6.13h5l.1.9.8.12h.5z","M13 2 6 13h5l-1 9 8-12h-5z","",""
"m13.8v11","M13 8v11","",""
"m14.10v4","M14 10v4","",""
"m14.12v9h3l3.3","M14 12V9h3l3 3","",""
"m14.14v5","M14 14v5","",""
"m14.6a4.4.0.0.0.4.5.5.6l.7.9.7.9a2.2.0.1.1.2.8.2.8l7.9.7.9a4","M14 6a4 4 0 0 0 4.5 5.6l-7.9 7.9a2 2 0 1 1-2.8-2.8l7.9-7.9A4 4 0 0 0 14 6Z","",""
"m14.6l4.4","M14 6l4 4","",""
"m14.6v12","M14 6v12","",""
"m15.10h3l2.2v2h.5","M15 10h3l2 2v2h-5","",""
"m15.7v12","M15 7v12","",""
"m15.9v6","M15 9v6","",""
"m16.14v2","M16 14v2","",""
"m16.19v2","M16 19v2","",""
"m16.5l2.14","M16 5l2 14","",""
"m17.10v2","M17 10v2","",""
"m17.11h3l1.1.1.1h.3","M17 11h3l1 1-1 1h-3","",""
"m17.18a1.5.1.5.0.1.0.0.3.1.5.1.5.0.0.0.0.3z","M17 18a1.5 1.5 0 1 0 0 3 1.5 1.5 0 0 0 0-3Z","",""
"m17.8v11","M17 8v11","",""
"m18.11h2","M18 11h2","",""
"m20.11.5h1","M20 11.5h1","",""
"m20.18v2","M20 18v2","",""
"m3.10h18","M3 10h18","",""
"m3.11.12.4l9.7","M3 11 12 4l9 7","",""
"m3.12.9.8.9.8","m3 12 9-8 9 8","",""
"m3.19h18","M3 19h18","",""
"m3.8h18","M3 8h18","",""
"m4.10h16","M4 10h16","",""
"m4.10h9a4.4.0.0.1.4.4v1h8a4.4.0.0.1.4.4v.1z","M4 10h9a4 4 0 0 1 4 4v1H8a4 4 0 0 1-4-4v-1Z","",""
"m4.11h16","M4 11h16","",""
"m4.12h13l3.3v3h4v.6z","M4 12h13l3 3v3H4v-6Z","",""
"m4.12h16","M4 12h16","",""
"m4.12h16v3a4.4.0.0.1.4.4h8a4.4.0.0.1.4.4v.3z","M4 12h16v3a4 4 0 0 1-4 4H8a4 4 0 0 1-4-4v-3Z","",""
"m4.12h16v5a2.2.0.0.1.2.2h6a2.2.0.0.1.2.2z","M4 12h16v5a2 2 0 0 1-2 2H6a2 2 0 0 1-2-2z","",""
"m4.12h16v6h4z","M4 12h16v6H4z","",""
"m4.13h16","M4 13h16","",""
"m4.14h16","M4 14h16","",""
"m4.17h16","M4 17h16","",""
"m4.18h4v.4h4v.4h4v6h4","M4 18h4v-4h4v-4h4V6h4","",""
"m4.18v2","M4 18v2","",""
"m4.6h16v12h4z","M4 6h16v12H4z","",""
"m4.7h16v12h4z","M4 7h16v12H4z","",""
"m4.8h11l3.3v5h7l.3.3z","M4 8h11l3 3v5H7l-3-3z","",""
"m4.9h16v8a2.2.0.0.1.2.2h6a2.2.0.0.1.2.2v9z","M4 9h16v8a2 2 0 0 1-2 2H6a2 2 0 0 1-2-2V9Z","",""
"m5.10h14v4a5.5.0.0.1.5.5h.4a5.5.0.0.1.5.5v.4z","M5 10h14v4a5 5 0 0 1-5 5h-4a5 5 0 0 1-5-5v-4Z","",""
"m5.10v10h14v10","M5 10v10h14V10","",""
"m5.14a7.7.0.0.1.14.0","M5 14a7 7 0 0 1 14 0","",""
"m5.8v11","M5 8v11","",""
"m6.11v9h12v.9","M6 11v9h12v-9","",""
"m6.12v9h5v3","M6 12V9h5v3","",""
"m6.16v4","M6 16v4","",""
"m6.17v9l6.4.6.4v8","M6 17V9l6-4 6 4v8","",""
"m6.4h10v16h6z","M6 4h10v16H6z","",""
"m6.7h12v10h6z","M6 7h12v10H6z","",""
"m7.12v8a2.2.0.0.1.2.2","M7 12V8a2 2 0 0 1 2-2","",""
"m7.12v9h10v3","M7 12V9h10v3","",""
"m7.16v2","M7 16v2","",""
"m7.18a1.5.1.5.0.1.0.0.3.1.5.1.5.0.0.0.0.3z","M7 18a1.5 1.5 0 1 0 0 3 1.5 1.5 0 0 0 0-3Z","",""
"m7.5v6a3.3.0.0.0.3.3h4","M7 5v6a3 3 0 0 0 3 3h4","",""
"m8.10v4","M8 10v4","",""
"m8.12h8","M8 12h8","",""
"m8.14v2","M8 14v2","",""
"m8.16h5","M8 16h5","",""
"m8.16h8","M8 16h8","",""
"m8.19h4","M8 19h4","",""
"m8.19v2","M8 19v2","",""
"m8.20v.6h8v6","M8 20v-6h8v6","",""
"m8.5.6.19","M8 5 6 19","",""
"m8.7h.01","M8 7h.01","",""
"m8.8h8","M8 8h8","",""
"m8.5.12h7","M8.5 12h7","",""
"m9.6a1.5.1.5.0.1.0.3.0v6","M9 6a1.5 1.5 0 1 0-3 0v6","",""
"m9.7v12","M9 7v12","",""
"m9.8h6","M9 8h6","",""
"m9.8v11","M9 8v11","",""
"m9.8v6h6v2","M9 8V6h6v2","",""
"m9.9v6","M9 9v6","",""
"m9.9v7a2.2.0.0.1.2.2h2a2.2.0.0.1.2.2v2","M9 9V7a2 2 0 0 1 2-2h2a2 2 0 0 1 2 2v2","",""
"magic.word.ready.over.say.it.when.your.speech.is.ready","Magic word: ""Ready over"". Say it when your speech is ready.","",""
"make.this.comment.visible.on.the.master.plan","Make this comment visible on the master plan","",""
"manage.areas.and.service.teams","Manage areas and service teams","",""
"manage.system.users.and.project.assignments.for.the.currentl","Manage system users and project assignments for the currently selected project.","",""
"manager","Manager","",""
"managers","Managers","",""
"mark.a.comment.with.visible.on.the.master.plan.to.collect.it","Mark a comment with â€œvisible on the master planâ€ to collect it here.","",""
"mark.important","Mark Important","",""
"measuring.tools","Measuring tools","",""
"member","Member","",""
"member.assigned.to.project","Member Assigned To Project","",""
"member.created","Member Created","",""
"member.deactivated","Member Deactivated","",""
"member.details","Member Details","",""
"member.permanently.deleted","Member Permanently Deleted","",""
"member.permission.matrix","Member Permission Matrix","",""
"member.permission.updated","Member Permission Updated","",""
"member.phone.check","Member Phone Check","",""
"member.restored","Member Restored","",""
"member.role.updated","Member Role Updated","",""
"member.updated","Member Updated","",""
"member.detail.grid.permission.member.detail.grid","member-detail-grid permission-member-detail-grid","",""
"member.qualification.badge.empty","member-qualification-badge empty","",""
"members","Members","",""
"member.workmode.badge.empty","member-workmode-badge empty","",""
"message","Message","",""
"messages.are.saved.in.this.project","Messages are saved in this project.","",""
"meta.pill.connection.pill","meta-pill connection-pill","",""
"meta.pill.directory.select.status","meta-pill directory-select-status","",""
"meta.pill.permission.elevated.pill","meta-pill permission-elevated-pill","",""
"meta.pill.status.pill.archived","meta-pill status-pill-archived","",""
"meta.pill.team.color.pill.connection.pill","meta-pill team-color-pill connection-pill","",""
"meta.row.equipment.category.card.pills","meta-row equipment-category-card-pills","",""
"midnight.paper","Midnight Paper","",""
"mint.desk","Mint Desk","",""
"more.colors","More colors","",""
"muted.permission.matrix.empty","muted permission-matrix-empty","",""
"muted.permission.matrix.filter.title","muted permission-matrix-filter-title","",""
"muted.permission.matrix.helper","muted permission-matrix-helper","",""
"muted.permission.role.defaults.helper","muted permission-role-defaults-helper","",""
"muted.project.chat.composer.note","muted project-chat-composer-note","",""
"muted.section.intro","muted section-intro","",""
"muted.service.team.member.list.empty","muted service-team-member-list-empty","",""
"my.projects","My Projects","",""
"my.team","My team","",""
"name","Name","",""
"new.assignment","New assignment","",""
"new.category","New Category","",""
"new.client","New Client","",""
"new.equipment","New Equipment","",""
"new.member","New Member","",""
"new.task.is.created","New task is created.","",""
"new.team","New team","",""
"no","No","",""
"no.active.projects.yet","No active projects yet.","",""
"no.active.user","No active user","",""
"no.active.user.selected","No active user selected","",""
"no.address.added","No address added","",""
"no.address.yet","No address yet.","",""
"no.archived.projects.yet","No archived projects yet.","",""
"no.area.selected","No area selected","",""
"no.areas.yet","No areas yet","",""
"no.category","No category","",""
"no.client.assigned","No client assigned","",""
"no.clients.yet.add.the.first.client.on.the.left","No clients yet. Add the first client on the left.","",""
"no.collected.comments.yet","No collected comments yet","",""
"no.company","No company","",""
"no.company.or.address","No company or address","",""
"no.company.or.address.yet","No company or address yet.","",""
"no.completed.projects.yet","No completed projects yet.","",""
"no.contact.details","No contact details","",""
"no.date","No date","",""
"no.email","No email","",""
"no.equipment.categories.yet","No equipment categories yet.","",""
"no.equipment.is.available.for.the.selected.category","No equipment is available for the selected category.","",""
"no.equipment.yet.add.the.first.item.on.the.left","No equipment yet. Add the first item on the left.","",""
"no.experience","No experience","",""
"no.extra.notes","No extra notes.","",""
"no.files.from.teams.or.areas.yet","No files from teams or areas yet.","",""
"no.files.yet","No files yet.","",""
"no.free.teams","No free teams","",""
"no.general.files.yet","No general files yet","",""
"no.general.information.yet","No general information yet","",""
"no.general.photos.yet","No general photos yet","",""
"no.icon","No icon","",""
"no.image.files.were.found.in.the.selected.location","No image files were found in the selected location.","",""
"no.linked.team","No linked team","",""
"no.linked.team.yet","No linked team yet.","",""
"no.member.matches.the.current.filters","No member matches the current filters.","",""
"no.members.available","No members available.","",""
"no.members.match.the.current.filters","No members match the current filters.","",""
"no.members.yet","No members yet.","",""
"no.notes.from.teams.or.areas.yet","No notes from teams or areas yet.","",""
"no.notes.yet","No notes yet.","",""
"no.open.projects","No open projects","",""
"no.photos.from.teams.or.areas.yet","No photos from teams or areas yet.","",""
"no.photos.yet","No photos yet.","",""
"no.planner.access.for.this.project","No planner access for this project","",""
"no.plans.yet","No plans yet","",""
"no.position","No position","",""
"no.project.manager","No project manager","",""
"no.reference","No reference","",""
"no.selected.members.in.the.permission.matrix","No selected members in the permission matrix.","",""
"no.service.team.selected","No Service Team selected","",""
"no.tasks.yet","No tasks yet","",""
"no.team.linked.yet","No team linked yet","",""
"no.teams.available","No teams available","",""
"no.teams.planned","No teams planned","",""
"no.teams.yet","No teams yet","",""
"no.teams.yet.2","No teams yet.","",""
"no.telephone","No telephone","",""
"no.telephone.added","No telephone added","",""
"no.text.yet","No text yet.","",""
"no.users.yet.create.the.first.admin.or.manager.here","No users yet. Create the first admin or manager here.","",""
"no.users.yet.create.the.first.admin.or.manager.on.the.left","No users yet. Create the first admin or manager on the left.","",""
"no.viber.room.link.saved.yet","No Viber room link saved yet.","",""
"noopener.noreferrer","noopener,noreferrer","",""
"not.assigned","Not assigned","",""
"not.created","Not created","",""
"not.saved","Not Saved","",""
"note","Note","",""
"note.title","Note title","",""
"note.item.image.image.open.trigger","note-item-image image-open-trigger","",""
"notes","Notes","",""
"notice","Notice","",""
"notifications","Notifications","",""
"ok","OK","",""
"olive.studio","Olive Studio","",""
"only.admins.can.archive.clients","Only admins can archive clients.","",""
"only.admins.can.create.or.edit.equipment.categories","Only admins can create or edit equipment categories.","",""
"only.admins.can.edit.equipment.categories","Only admins can edit equipment categories.","",""
"only.admins.can.edit.the.default.permissions.for.each.role","Only admins can edit the default permissions for each role.","",""
"only.admins.can.permanently.delete.archived.projects","Only admins can permanently delete archived projects.","",""
"only.admins.can.permanently.delete.areas","Only admins can permanently delete Areas.","",""
"only.admins.can.permanently.delete.clients","Only admins can permanently delete clients.","",""
"only.admins.can.permanently.delete.equipment","Only admins can permanently delete equipment.","",""
"only.admins.can.permanently.delete.projects","Only admins can permanently delete projects.","",""
"only.admins.can.permanently.delete.service.teams","Only admins can permanently delete Service Teams.","",""
"only.admins.can.restore.archived.items","Only admins can restore archived items.","",""
"only.admins.can.restore.archived.projects","Only admins can restore archived projects.","",""
"only.admins.can.restore.archived.service.teams","Only admins can restore archived Service Teams.","",""
"only.admins.can.view.the.full.audit.log","Only admins can view the full audit log.","",""
"only.admins.or.assigned.managers.can.archive.areas","Only admins or assigned managers can archive Areas.","",""
"only.admins.or.assigned.managers.can.archive.projects","Only admins or assigned managers can archive projects.","",""
"only.admins.or.assigned.managers.can.archive.service.teams","Only admins or assigned managers can archive Service Teams.","",""
"only.admins.or.assigned.managers.can.change.the.project.clie","Only admins or assigned managers can change the project client.","",""
"only.admins.or.assigned.managers.can.configure.project.viber","Only admins or assigned managers can configure project Viber room.","",""
"only.admins.or.assigned.managers.can.connect.service.teams.t","Only admins or assigned managers can connect Service Teams to Areas.","",""
"only.admins.or.assigned.managers.can.connect.service.teams.t.2","Only admins or assigned managers can connect Service Teams to items.","",""
